/home/apiasecz/.conda/envs/cent7/2024.02-py311/cog_fl_llm_env/lib/python3.12/site-packages/torch/nn/modules/conv.py:456: UserWarning: Plan failed with a cudnnException: CUDNN_BACKEND_EXECUTION_PLAN_DESCRIPTOR: cudnnFinalize Descriptor Failed cudnn_status: CUDNN_STATUS_NOT_SUPPORTED (Triggered internally at /opt/conda/conda-bld/pytorch_1712608847532/work/aten/src/ATen/native/cudnn/Conv_v8.cpp:919.)
  return F.conv2d(input, weight, bias, self.stride,
seed: 3
policy_id: 1
setting_id: 7
pi_bar: 0.1
drift_rate: 0.01
V: 5.5
Round 60: Accuracy = 0.6844, Decision = False
Round 61: Accuracy = 0.6809, Decision = False
Round 62: Accuracy = 0.6927, Decision = False
Round 63: Accuracy = 0.6985, Decision = False
Round 64: Accuracy = 0.6951, Decision = False
Round 65: Accuracy = 0.6866, Decision = False
Epoch 1/5, Loss: 0.7040
Epoch 2/5, Loss: 0.7395
Epoch 3/5, Loss: 0.6635
Epoch 4/5, Loss: 0.6645
Epoch 5/5, Loss: 0.6636
Round 66: Accuracy = 0.6910, Decision = True
Round 67: Accuracy = 0.6100, Decision = False
Round 68: Accuracy = 0.6078, Decision = False
Round 69: Accuracy = 0.6107, Decision = False
Round 70: Accuracy = 0.6126, Decision = False
Round 71: Accuracy = 0.6096, Decision = False
Round 72: Accuracy = 0.6051, Decision = False
Round 73: Accuracy = 0.6065, Decision = False
Round 74: Accuracy = 0.6085, Decision = False
Epoch 1/5, Loss: 0.7274
Epoch 2/5, Loss: 0.7130
Epoch 3/5, Loss: 0.6946
Epoch 4/5, Loss: 0.6694
Epoch 5/5, Loss: 0.6489
Round 75: Accuracy = 0.6090, Decision = True
Epoch 1/5, Loss: 0.6904
Epoch 2/5, Loss: 0.6162
Epoch 3/5, Loss: 0.6028
Epoch 4/5, Loss: 0.6143
Epoch 5/5, Loss: 0.5827
Round 76: Accuracy = 0.6947, Decision = True
Round 77: Accuracy = 0.7613, Decision = False
Round 78: Accuracy = 0.7592, Decision = False
Round 79: Accuracy = 0.7584, Decision = False
Round 80: Accuracy = 0.7594, Decision = False
Round 81: Accuracy = 0.7587, Decision = False
Round 82: Accuracy = 0.7579, Decision = False
Round 83: Accuracy = 0.7969, Decision = False
Round 84: Accuracy = 0.7956, Decision = False
Round 85: Accuracy = 0.7718, Decision = False
Round 86: Accuracy = 0.7776, Decision = False
Round 87: Accuracy = 0.7724, Decision = False
Round 88: Accuracy = 0.7669, Decision = False
Round 89: Accuracy = 0.7649, Decision = False
Round 90: Accuracy = 0.7640, Decision = False
Round 91: Accuracy = 0.7596, Decision = False
Round 92: Accuracy = 0.7560, Decision = False
Round 93: Accuracy = 0.7540, Decision = False
Round 94: Accuracy = 0.7491, Decision = False
Round 95: Accuracy = 0.7434, Decision = False
Round 96: Accuracy = 0.7448, Decision = False
Round 97: Accuracy = 0.7428, Decision = False
Round 98: Accuracy = 0.7444, Decision = False
Round 99: Accuracy = 0.7445, Decision = False
Round 100: Accuracy = 0.7444, Decision = False
Round 101: Accuracy = 0.7429, Decision = False
Round 102: Accuracy = 0.7386, Decision = False
Round 103: Accuracy = 0.7768, Decision = False
Round 104: Accuracy = 0.7519, Decision = False
Round 105: Accuracy = 0.7450, Decision = False
Epoch 1/5, Loss: 0.6811
Epoch 2/5, Loss: 0.7033
Epoch 3/5, Loss: 0.6951
Epoch 4/5, Loss: 0.6361
Epoch 5/5, Loss: 0.6455
Round 106: Accuracy = 0.7528, Decision = True
Round 107: Accuracy = 0.6451, Decision = False
Round 108: Accuracy = 0.6379, Decision = False
Round 109: Accuracy = 0.6354, Decision = False
Round 110: Accuracy = 0.6349, Decision = False
Round 111: Accuracy = 0.6328, Decision = False
Round 112: Accuracy = 0.6290, Decision = False
Round 113: Accuracy = 0.6310, Decision = False
Epoch 1/5, Loss: 0.6845
Epoch 2/5, Loss: 0.6542
Epoch 3/5, Loss: 0.6396
Epoch 4/5, Loss: 0.6037
Epoch 5/5, Loss: 0.5780
Round 114: Accuracy = 0.6281, Decision = True
Round 115: Accuracy = 0.6983, Decision = False
Round 116: Accuracy = 0.6972, Decision = False
Round 117: Accuracy = 0.6960, Decision = False
Round 118: Accuracy = 0.6967, Decision = False
Epoch 1/5, Loss: 0.6111
Epoch 2/5, Loss: 0.6069
Epoch 3/5, Loss: 0.6030
Epoch 4/5, Loss: 0.5631
Epoch 5/5, Loss: 0.5458
Round 119: Accuracy = 0.6975, Decision = True
Round 120: Accuracy = 0.7432, Decision = False
Round 121: Accuracy = 0.7220, Decision = False
Round 122: Accuracy = 0.7242, Decision = False
No available target samples left. Reusing existing target indices.
Round 123: Accuracy = 0.7201, Decision = False
No available target samples left. Reusing existing target indices.
Round 124: Accuracy = 0.7227, Decision = False
No available target samples left. Reusing existing target indices.
Round 125: Accuracy = 0.7209, Decision = False
No available target samples left. Reusing existing target indices.
Round 126: Accuracy = 0.7206, Decision = False
No available target samples left. Reusing existing target indices.
Round 127: Accuracy = 0.7212, Decision = False
No available target samples left. Reusing existing target indices.
Epoch 1/5, Loss: 0.5368
Epoch 2/5, Loss: 0.6342
Epoch 3/5, Loss: 0.5887
Epoch 4/5, Loss: 0.5660
Epoch 5/5, Loss: 0.5377
Round 128: Accuracy = 0.7195, Decision = True
No available target samples left. Reusing existing target indices.
Epoch 1/5, Loss: 0.5267
Epoch 2/5, Loss: 0.5159
Epoch 3/5, Loss: 0.5395
Epoch 4/5, Loss: 0.4938
Epoch 5/5, Loss: 0.4661
Round 129: Accuracy = 0.7612, Decision = True
No available target samples left. Reusing existing target indices.
Epoch 1/5, Loss: 0.4724
Epoch 2/5, Loss: 0.4449
Epoch 3/5, Loss: 0.4661
Epoch 4/5, Loss: 0.4905
Epoch 5/5, Loss: 0.4561
Round 130: Accuracy = 0.7662, Decision = True
No available target samples left. Reusing existing target indices.
Round 131: Accuracy = 0.6999, Decision = False
No available target samples left. Reusing existing target indices.
Round 132: Accuracy = 0.6998, Decision = False
No available target samples left. Reusing existing target indices.
Round 133: Accuracy = 0.6999, Decision = False
No available target samples left. Reusing existing target indices.
Round 134: Accuracy = 0.7062, Decision = False
No available target samples left. Reusing existing target indices.
Round 135: Accuracy = 0.7017, Decision = False
No available target samples left. Reusing existing target indices.
Round 136: Accuracy = 0.7011, Decision = False
No available target samples left. Reusing existing target indices.
Round 137: Accuracy = 0.6996, Decision = False
No available target samples left. Reusing existing target indices.
Round 138: Accuracy = 0.6997, Decision = False
No available target samples left. Reusing existing target indices.
Epoch 1/5, Loss: 0.4622
Epoch 2/5, Loss: 0.4573
Epoch 3/5, Loss: 0.4435
Epoch 4/5, Loss: 0.4561
Epoch 5/5, Loss: 0.4472
Round 139: Accuracy = 0.6970, Decision = True
No available target samples left. Reusing existing target indices.
Round 140: Accuracy = 0.7443, Decision = False
No available target samples left. Reusing existing target indices.
Round 141: Accuracy = 0.7419, Decision = False
No available target samples left. Reusing existing target indices.
No available target samples left. Reusing existing target indices.
Round 142: Accuracy = 0.7419, Decision = False
No available target samples left. Reusing existing target indices.
No available target samples left. Reusing existing target indices.
Round 143: Accuracy = 0.7419, Decision = False
No available target samples left. Reusing existing target indices.
No available target samples left. Reusing existing target indices.
Round 144: Accuracy = 0.7419, Decision = False
No available target samples left. Reusing existing target indices.
No available target samples left. Reusing existing target indices.
Round 145: Accuracy = 0.7419, Decision = False
No available target samples left. Reusing existing target indices.
No available target samples left. Reusing existing target indices.
Round 146: Accuracy = 0.7419, Decision = False
No available target samples left. Reusing existing target indices.
No available target samples left. Reusing existing target indices.
Round 147: Accuracy = 0.7419, Decision = False
No available target samples left. Reusing existing target indices.
No available target samples left. Reusing existing target indices.
Round 148: Accuracy = 0.7419, Decision = False
No available target samples left. Reusing existing target indices.
No available target samples left. Reusing existing target indices.
Round 149: Accuracy = 0.7419, Decision = False
No available target samples left. Reusing existing target indices.
No available target samples left. Reusing existing target indices.
Round 150: Accuracy = 0.7419, Decision = False
No available target samples left. Reusing existing target indices.
No available target samples left. Reusing existing target indices.
Round 151: Accuracy = 0.7419, Decision = False
No available target samples left. Reusing existing target indices.
No available target samples left. Reusing existing target indices.
Round 152: Accuracy = 0.7419, Decision = False
No available target samples left. Reusing existing target indices.
No available target samples left. Reusing existing target indices.
Round 153: Accuracy = 0.7419, Decision = False
No available target samples left. Reusing existing target indices.
No available target samples left. Reusing existing target indices.
Round 154: Accuracy = 0.7419, Decision = False
No available target samples left. Reusing existing target indices.
No available target samples left. Reusing existing target indices.
Round 155: Accuracy = 0.7419, Decision = False
No available target samples left. Reusing existing target indices.
No available target samples left. Reusing existing target indices.
Round 156: Accuracy = 0.7419, Decision = False
No available target samples left. Reusing existing target indices.
No available target samples left. Reusing existing target indices.
Round 157: Accuracy = 0.7419, Decision = False
No available target samples left. Reusing existing target indices.
No available target samples left. Reusing existing target indices.
Round 158: Accuracy = 0.7419, Decision = False
No available target samples left. Reusing existing target indices.
