t,accuracy,loss,decision
0,0.8392,0.30967030117988587,False
1,0.8389,0.3112758963012695,False
2,0.8383,0.31247501707077024,False
3,0.8378,0.31421783130645753,False
4,0.8376,0.315913239030838,False
5,0.8373,0.31783123878479,False
6,0.8367,0.3192012020778656,False
7,0.836,0.665408925317666,True
8,0.8454,0.2704753982782364,False
9,0.8455,0.2704681723594666,False
10,0.8454,0.27045262117385865,False
11,0.8453,0.27043430222034454,False
12,0.8452,0.2704575447034836,False
13,0.8449,0.2705712470626831,False
14,0.8448,0.27079818590164184,False
15,0.8447,0.27090187839508056,False
16,0.8446,0.270814643907547,False
17,0.8445,0.2708641425132751,False
18,0.8447,0.2709149304008484,False
19,0.8445,0.2710791813659668,False
20,0.8445,0.27116220079422,False
21,0.8444,0.24641414841689419,True
22,0.8379,0.17352575980663298,False
23,0.838,0.13157084529881205,True
24,0.8544,0.09678805027961732,False
25,0.8544,0.09684196646928787,False
26,0.8545,0.08736866509108364,True
27,0.8527,0.0750697113621235,False
28,0.8528,0.07518873003721237,False
29,0.853,0.07531178762197495,False
30,0.8529,0.06870964829478879,True
31,0.865,0.05469029658334688,True
32,0.8642,0.029599149037301542,False
33,0.8642,0.04843247494297971,True
34,0.8609,0.04407655496708587,True
35,0.8739,0.018520434115678074,False
36,0.8738,0.018534494999200107,False
37,0.8739,0.040034800563144554,True
38,0.8609,0.03541004656860337,True
39,0.8681,0.03564860996993585,True
40,0.8615,0.025111540871113537,False
41,0.8615,0.025249799407795072,False
42,0.8613,0.025304199366644024,False
43,0.8612,0.03293050789603219,True
44,0.8751,0.015999995182082057,False
45,0.875,0.016051741934493186,False
46,0.8753,0.016238665897734463,False
47,0.8754,0.016374872076380997,False
48,0.8755,0.028214371222888047,True
49,0.8742,0.02851154619256564,True
50,0.8641,0.05280838763661683,False
51,0.8643,0.05293906424753368,False
52,0.864,0.05311095015957951,False
53,0.864,0.053214563646689056,False
54,0.864,0.05335746635630727,False
55,0.8639,0.0534812753174454,False
56,0.8638,0.053521453406829386,False
