t,accuracy,loss,decision
0,0.8236,0.6250310462606532,1
1,0.8152,0.34731990591049194,0
2,0.8136,0.3548453141880035,0
3,0.8113,0.3615841411113739,0
4,0.8098,0.24962261964178753,1
5,0.8346,0.17365296854019166,0
6,0.832,0.17971231960773468,0
7,0.8309,0.13723901169531788,1
8,0.851,0.08530898082971573,0
9,0.8513,0.08888555812597275,0
10,0.8517,0.09297048139333725,0
11,0.8513,0.0971461227941513,0
12,0.8506,0.10215204070806504,0
13,0.8491,0.10718511290550232,0
14,0.8477,0.09945484920049949,1
15,0.8567,0.055208615671396254,0
16,0.8563,0.05853858388781547,0
17,0.8556,0.06269779836714268,0
18,0.856,0.06544735008180141,0
19,0.8549,0.06849249491631984,0
20,0.8539,0.07273283682107926,0
21,0.8541,0.07633419039726258,0
22,0.8535,0.08052810072243213,0
23,0.8527,0.08459576455235482,0
24,0.8523,0.0888539397263527,0
25,0.8517,0.0927999546289444,0
26,0.8511,0.09709773496747016,0
27,0.8505,0.10118675405025482,0
28,0.8499,0.10502402267813682,0
29,0.8489,0.10943086012363434,0
30,0.8471,0.11471740201950073,0
31,0.846,0.11819865143060684,0
32,0.8453,0.09662876662540981,1
33,0.8548,0.04647594864070415,0
34,0.8548,0.049988361298441884,0
35,0.855,0.052624933961629865,0
36,0.8533,0.05610161229431629,0
37,0.8527,0.060700064180493354,0
38,0.8523,0.06550371417582035,0
39,0.8521,0.06942536301493644,0
40,0.8514,0.07293759687244893,0
41,0.8515,0.07656748845338822,0
42,0.851,0.08073698708415031,0
43,0.8507,0.08490283917844295,0
44,0.85,0.08892733416795731,0
45,0.8491,0.09349287860512734,0
46,0.8481,0.09833905741930007,0
47,0.8471,0.10194457802295685,0
48,0.8463,0.1061480673879385,0
49,0.8451,0.1103816610121727,0
50,0.8446,0.11541465464353562,0
51,0.845,0.12022841768741607,0
52,0.8431,0.12357144128084183,0
53,0.8428,0.12938197444438934,0
54,0.8434,0.13459888839244843,0
55,0.8429,0.09152736611916776,1
56,0.8468,0.04911098125994205,0
57,0.8468,0.052116094505041836,0
58,0.8459,0.05544873321905732,0
59,0.8457,0.05815384853363037,0
60,0.8466,0.06202612289130688,0
61,0.8465,0.06633708682864904,0
62,0.846,0.06875585127651691,0
63,0.8457,0.07368017987668514,0
64,0.8442,0.07699604590713978,0
65,0.8445,0.07243917259039914,1
66,0.8516,0.02553406815931201,0
67,0.8508,0.028865543981641532,0
68,0.8505,0.033298155111595985,0
69,0.8496,0.03559334081232548,0
70,0.8484,0.03945609405487776,0
71,0.8484,0.042711857905983926,0
72,0.8479,0.0473721247369051,0
73,0.8474,0.05085944484770298,0
74,0.8469,0.05412444457054138,0
75,0.8454,0.057530443195700644,0
76,0.8445,0.06012203556925058,0
77,0.844,0.06316880457520485,0
78,0.8436,0.06542573591262102,0
79,0.8432,0.06952757209688425,0
80,0.8425,0.07124162536740303,0
81,0.8419,0.0737355948677659,0
82,0.841,0.07699164313793182,0
83,0.8405,0.08071228787571191,0
84,0.8391,0.0858544159168005,0
85,0.8383,0.08903357943177223,0
86,0.8381,0.093115422757864,0
87,0.838,0.0968749912661314,0
88,0.8374,0.10039908277511597,0
89,0.8378,0.10484565502941609,0
90,0.8374,0.10879139932274819,0
91,0.8368,0.1126648058950901,0
92,0.8369,0.11620667284846306,0
93,0.8368,0.12023564463615417,0
94,0.8358,0.12442431506633758,0
95,0.8361,0.12757370729207992,0
96,0.8347,0.1321852792060375,0
97,0.834,0.13623451867818834,0
98,0.8335,0.14073900092840194,0
99,0.8328,0.1444218644118309,0
100,0.8322,0.14896120024621487,0
101,0.8322,0.1544114857339859,0
102,0.8313,0.15893710570812225,0
103,0.8312,0.16256341279327868,0
104,0.8309,0.16675798750400544,0
105,0.8298,0.1720718820619583,0
106,0.8286,0.17654802479505538,0
107,0.8281,0.179786092710495,0
108,0.8275,0.18481963898658751,0
109,0.826,0.18998488002181052,0
110,0.8253,0.11595564689153755,1
111,0.8372,0.03314805448107421,0
112,0.8367,0.039815066196918485,0
113,0.8365,0.044968276181221005,0
114,0.8364,0.051361792155206205,0
115,0.8351,0.06877874748655081,1
116,0.821,0.051779596571922305,0
117,0.8213,0.05863461421728134,0
118,0.821,0.06416839125812053,0
119,0.8213,0.07136967809468507,0
120,0.8206,0.07969922629356384,0
121,0.8204,0.08428406513810158,0
122,0.8199,0.09047467506051063,0
123,0.8198,0.09659313166379929,0
124,0.8189,0.10310199145078659,0
125,0.8183,0.07405658553210337,1
126,0.8311,0.029842877107858656,0
127,0.8306,0.03705948549717665,0
128,0.829,0.04375814834229648,0
129,0.8282,0.05013488425791263,0
130,0.8269,0.05785483899891376,0
131,0.8272,0.06410104075074195,0
132,0.8266,0.07109712537765503,0
133,0.8257,0.07734549744993448,0
134,0.8252,0.08510651688814164,0
135,0.824,0.09316392243239097,0
136,0.8235,0.0992160925167799,0
137,0.8232,0.10563445604979992,0
138,0.8225,0.109605409360528,0
139,0.8217,0.1151334682059288,0
140,0.8208,0.12082898493051529,0
141,0.8205,0.08790078755322835,1
142,0.8193,0.03731574368625879,0
143,0.8189,0.051000394776303914,1
144,0.8034,0.04888844024181366,0
