t,accuracy,loss,decision
0,0.829,0.6236373790999508,True
1,0.794,0.46599040656089785,False
2,0.794,0.4659897745227814,False
3,0.794,0.4661450386428833,False
4,0.794,0.4662966381263733,False
5,0.7938,0.4663354194736481,False
6,0.7937,0.4664446175003052,False
7,0.7935,0.466558228225708,False
8,0.7935,0.4666744476222992,False
9,0.7935,0.46673453938484194,False
10,0.7935,0.4669037556409836,False
11,0.7934,0.46697340787887576,False
12,0.7932,0.46710850868225096,False
13,0.7932,0.46718639236450193,False
14,0.7931,0.46719973093032835,False
15,0.7932,0.46723647315502165,False
16,0.7931,0.4673490005493164,False
17,0.7928,0.46748712448120117,False
18,0.7926,0.46753265939712524,False
19,0.7926,0.4675499487400055,False
20,0.7927,0.4677623644447327,False
21,0.7926,0.46786994775772095,False
22,0.7925,0.4679704398155212,False
23,0.7924,0.468033649597168,False
24,0.7923,0.46803909986495973,False
25,0.7925,0.4680892371082306,False
26,0.7926,0.4682840704727173,False
27,0.7926,0.2363342963082864,True
28,0.8535,0.13871538472652437,False
29,0.8536,0.13883479076862335,False
30,0.8535,0.13892202321529387,False
31,0.8534,0.1389278978562355,False
32,0.8533,0.13898480865478516,False
33,0.8534,0.1390889890551567,False
34,0.8533,0.13924603432178498,False
35,0.8534,0.1393214662361145,False
36,0.8534,0.1394596881532669,False
37,0.8533,0.13954412269830704,False
38,0.8533,0.12515707188202524,True
39,0.8746,0.046233873804211616,False
40,0.8745,0.08599637891535106,True
41,0.8532,0.08091701566934585,False
42,0.8531,0.08101572513580323,False
43,0.8531,0.08129912855148315,False
44,0.8529,0.08134493605136871,False
45,0.8529,0.0814081677722931,False
46,0.8529,0.08152072085857391,False
47,0.8528,0.08178611631035805,False
48,0.8525,0.08188720016479492,False
49,0.8526,0.08221719089627266,False
50,0.8526,0.08246544823169709,False
51,0.8526,0.08253573405981064,False
52,0.8526,0.0827988247191906,False
53,0.8527,0.08292122624397277,False
54,0.8527,0.08307788341522217,False
55,0.8526,0.08326020926237106,False
56,0.8525,0.08343222572088242,False
57,0.8524,0.08368523273706437,False
58,0.8525,0.08369479538202286,False
59,0.8525,0.08383362954616547,False
60,0.8524,0.08396581791400909,False
61,0.8524,0.08397886977910995,False
62,0.8524,0.08412309968233109,False
63,0.8522,0.0842913341140747,False
64,0.8524,0.08447865471124649,False
65,0.8523,0.08449011875629425,False
66,0.8521,0.08488802606582642,False
67,0.852,0.08499638139486312,False
68,0.8521,0.08500726046800614,False
69,0.852,0.08506770792245864,False
70,0.852,0.08518724001646041,False
71,0.8519,0.08529818991065026,False
72,0.8518,0.0855239043712616,False
73,0.8517,0.08569593992948532,False
74,0.8516,0.08584630957126617,False
75,0.8516,0.08600375785827637,False
76,0.8516,0.08613167840003967,False
77,0.8514,0.08623496024131774,False
78,0.8513,0.08634417176246643,False
79,0.8511,0.08652260153651238,False
80,0.8511,0.08656843880414963,False
81,0.8509,0.08677535694599152,False
82,0.851,0.08683500118613244,False
83,0.851,0.08696219967007637,False
84,0.8509,0.08699020191431045,False
85,0.8507,0.08702988998889923,False
86,0.8508,0.08709537294387817,False
87,0.8508,0.08725320780277253,False
88,0.8508,0.08739083916664124,False
89,0.8509,0.0875655002117157,False
90,0.851,0.08769321295380593,False
91,0.8509,0.08790375866174698,False
92,0.8508,0.08812598894834518,False
93,0.8507,0.08822094272375107,False
94,0.8507,0.06768098190531628,True
95,0.8721,0.03186155588552356,False
96,0.8719,0.03185756965994835,False
97,0.872,0.03189326193794608,False
98,0.8719,0.031920090996026995,False
99,0.8717,0.03188738896936178,False
100,0.8715,0.031870145515948536,False
101,0.8715,0.05652847696441676,True
102,0.8671,0.04098209153845906,False
103,0.8672,0.041028735677599903,False
104,0.8671,0.041191131636351346,False
105,0.8671,0.04132971773415804,False
106,0.867,0.04138513276413083,False
107,0.867,0.04163627505876124,False
