t,accuracy,loss,decision
0,0.832,0.6459452642999647,True
1,0.8335,0.3085490086746216,False
2,0.8335,0.3087090281391144,False
3,0.8336,0.30884967456817625,False
4,0.8336,0.3090101202583313,False
5,0.8336,0.3091508803653717,False
6,0.8335,0.3094910577964783,False
7,0.8335,0.30958190328598023,False
8,0.8335,0.3097927789020538,False
9,0.8334,0.30983128252983094,False
10,0.8334,0.24687411689849764,True
11,0.8384,0.21533282222747802,False
12,0.8386,0.21535192049980165,False
13,0.8386,0.21549186594963074,False
14,0.8386,0.21571295123577117,False
15,0.8387,0.21574446519851684,False
16,0.8387,0.2157717030620575,False
17,0.8387,0.21585163160324097,False
18,0.8388,0.21588776624679565,False
19,0.8385,0.2158626645565033,False
20,0.8385,0.13427582964053392,True
21,0.8421,0.1496597079181671,False
22,0.8421,0.14966577761650085,False
23,0.8421,0.1496901866531372,False
24,0.8421,0.14965859533786774,False
25,0.8421,0.14970594539642335,False
26,0.8422,0.14958545842647553,False
27,0.8422,0.14946333048820495,False
28,0.842,0.14954498871803285,False
29,0.842,0.14960862149238585,False
30,0.8419,0.0862423008110117,True
31,0.8591,0.07457935933709145,False
32,0.8592,0.07460150997400283,False
33,0.8591,0.07482324888467788,False
34,0.8589,0.07506061915278435,False
35,0.8589,0.07514463009119034,False
36,0.8591,0.07510987008869648,False
37,0.8591,0.07517416343092918,False
38,0.8592,0.07537574185788631,False
39,0.8594,0.0754698124730587,False
40,0.8592,0.06946571652546449,True
41,0.8527,0.0737518159198761,False
42,0.8527,0.07385840778768063,False
43,0.8528,0.07413887954831123,False
44,0.8531,0.07425333094239235,False
45,0.8531,0.07435544226363301,False
46,0.853,0.07440758756518363,False
47,0.8529,0.07451981441617012,False
48,0.8527,0.07451705147594213,False
49,0.8528,0.07462115134835243,False
50,0.8529,0.05614674620900799,True
51,0.8656,0.036055548517853024,False
52,0.8656,0.036152160594314336,False
53,0.8656,0.03613564152896404,False
54,0.8655,0.03641203750416636,False
