Files already downloaded and verified
Files already downloaded and verified
Initial model performance:
Train accuracy: 0.8832, Test accuracy: 0.8322
Round 79: Accuracy = 0.8425, Loss = 0.1866, Decision = 0
Round 80: Accuracy = 0.8422, Loss = 0.1883, Decision = 0
Round 81: Accuracy = 0.8412, Loss = 0.1899, Decision = 0
Round 82: Accuracy = 0.8409, Loss = 0.1920, Decision = 0
Round 83: Accuracy = 0.8406, Loss = 0.1939, Decision = 0
Round 84: Accuracy = 0.8401, Loss = 0.1961, Decision = 0
Round 85: Accuracy = 0.8398, Loss = 0.1977, Decision = 0
Round 86: Accuracy = 0.8394, Loss = 0.1992, Decision = 0
Round 87: Accuracy = 0.8393, Loss = 0.2009, Decision = 0
Round 88: Accuracy = 0.8386, Loss = 0.2029, Decision = 0
Round 89: Accuracy = 0.8384, Loss = 0.2050, Decision = 0
Round 90: Accuracy = 0.8376, Loss = 0.2065, Decision = 0
Round 91: Accuracy = 0.8361, Loss = 0.2084, Decision = 0
Round 92: Accuracy = 0.8361, Loss = 0.2105, Decision = 0
Round 93: Accuracy = 0.8353, Loss = 0.2126, Decision = 0
Round 94: Accuracy = 0.8342, Loss = 0.2149, Decision = 0
Round 95: Accuracy = 0.8335, Loss = 0.2171, Decision = 0
Round 96: Accuracy = 0.8328, Loss = 0.2192, Decision = 0
Round 97: Accuracy = 0.8323, Loss = 0.2213, Decision = 0
Round 98: Accuracy = 0.8321, Loss = 0.2235, Decision = 0
Round 99: Accuracy = 0.8319, Loss = 0.2255, Decision = 0
Round 100: Accuracy = 0.8320, Loss = 0.2274, Decision = 0
Round 101: Accuracy = 0.8318, Loss = 0.2292, Decision = 0
Round 102: Accuracy = 0.8315, Loss = 0.2312, Decision = 0
Round 103: Accuracy = 0.8310, Loss = 0.2336, Decision = 0
Round 104: Accuracy = 0.8306, Loss = 0.2358, Decision = 0
Round 105: Accuracy = 0.8301, Loss = 0.2381, Decision = 0
Round 106: Accuracy = 0.8296, Loss = 0.2406, Decision = 0
Round 107: Accuracy = 0.8289, Loss = 0.2425, Decision = 0
Round 108: Accuracy = 0.8279, Loss = 0.2449, Decision = 0
Round 109: Accuracy = 0.8272, Loss = 0.2472, Decision = 0
Round 110: Accuracy = 0.8267, Loss = 0.2498, Decision = 0
Round 111: Accuracy = 0.8263, Loss = 0.2526, Decision = 0
Round 112: Accuracy = 0.8263, Loss = 0.2552, Decision = 0
Round 113: Accuracy = 0.8257, Loss = 0.2577, Decision = 0
Round 114: Accuracy = 0.8254, Loss = 0.2604, Decision = 0
Round 115: Accuracy = 0.8243, Loss = 0.2629, Decision = 0
Round 116: Accuracy = 0.8239, Loss = 0.2655, Decision = 0
Round 117: Accuracy = 0.8232, Loss = 0.2685, Decision = 0
Round 118: Accuracy = 0.8227, Loss = 0.2712, Decision = 0
Round 119: Accuracy = 0.8226, Loss = 0.2736, Decision = 0
Round 120: Accuracy = 0.8215, Loss = 0.2763, Decision = 0
Round 121: Accuracy = 0.8210, Loss = 0.2785, Decision = 0
Round 122: Accuracy = 0.8206, Loss = 0.2812, Decision = 0
Round 123: Accuracy = 0.8200, Loss = 0.2837, Decision = 0
Round 124: Accuracy = 0.8194, Loss = 0.2862, Decision = 0
Round 125: Accuracy = 0.8183, Loss = 0.2897, Decision = 0
Round 126: Accuracy = 0.8176, Loss = 0.2923, Decision = 0
Round 127: Accuracy = 0.8175, Loss = 0.2953, Decision = 0
Round 128: Accuracy = 0.8164, Loss = 0.2982, Decision = 0
Round 129: Accuracy = 0.8159, Loss = 0.3012, Decision = 0
Round 130: Accuracy = 0.8154, Loss = 0.3048, Decision = 0
Round 131: Accuracy = 0.8153, Loss = 0.3079, Decision = 0
Round 132: Accuracy = 0.8145, Loss = 0.3109, Decision = 0
Round 133: Accuracy = 0.8137, Loss = 0.3136, Decision = 0
Round 134: Accuracy = 0.8126, Loss = 0.3167, Decision = 0
Round 135: Accuracy = 0.8119, Loss = 0.3200, Decision = 0
Round 136: Accuracy = 0.8109, Loss = 0.3228, Decision = 0
Round 137: Accuracy = 0.8107, Loss = 0.3256, Decision = 0
Round 138: Accuracy = 0.8101, Loss = 0.3286, Decision = 0
Round 139: Accuracy = 0.8094, Loss = 0.3317, Decision = 0
Round 140: Accuracy = 0.8087, Loss = 0.3351, Decision = 0
Round 141: Accuracy = 0.8080, Loss = 0.3381, Decision = 0
Round 142: Accuracy = 0.8074, Loss = 0.3413, Decision = 0
Round 143: Accuracy = 0.8069, Loss = 0.3448, Decision = 0
Round 144: Accuracy = 0.8061, Loss = 0.3474, Decision = 0
Round 145: Accuracy = 0.8052, Loss = 0.3503, Decision = 0
Round 146: Accuracy = 0.8042, Loss = 0.3537, Decision = 0
Round 147: Accuracy = 0.8030, Loss = 0.3567, Decision = 0
