Files already downloaded and verified
Files already downloaded and verified
Initial model performance:
Train accuracy: 0.8332, Test accuracy: 0.7913
/home/apiasecz/.conda/envs/cog_fl_llm_env/lib/python3.12/site-packages/torch/autograd/graph.py:744: UserWarning: Plan failed with a cudnnException: CUDNN_BACKEND_EXECUTION_PLAN_DESCRIPTOR: cudnnFinalize Descriptor Failed cudnn_status: CUDNN_STATUS_NOT_SUPPORTED (Triggered internally at /opt/conda/conda-bld/pytorch_1712608847532/work/aten/src/ATen/native/cudnn/Conv_v8.cpp:919.)
  return Variable._execution_engine.run_backward(  # Calls into the C++ engine to run the backward pass
Epoch 1/5, Loss: 1.2177
Epoch 2/5, Loss: 0.7682
Epoch 3/5, Loss: 0.5965
Epoch 4/5, Loss: 0.4876
Epoch 5/5, Loss: 0.4105
Round 59: Accuracy = 0.8010, Loss = 0.4458, Decision = 0
Epoch 1/5, Loss: 0.3870
Epoch 2/5, Loss: 0.3231
Epoch 3/5, Loss: 0.2802
Epoch 4/5, Loss: 0.2396
Epoch 5/5, Loss: 0.2087
Round 60: Accuracy = 0.7993, Loss = 0.2877, Decision = 1
Round 61: Accuracy = 0.8563, Loss = 0.1377, Decision = 0
Round 62: Accuracy = 0.8556, Loss = 0.1386, Decision = 0
Round 63: Accuracy = 0.8556, Loss = 0.1396, Decision = 0
Round 64: Accuracy = 0.8552, Loss = 0.1404, Decision = 0
Round 65: Accuracy = 0.8551, Loss = 0.1412, Decision = 0
Round 66: Accuracy = 0.8548, Loss = 0.1419, Decision = 0
Round 67: Accuracy = 0.8541, Loss = 0.1426, Decision = 0
Round 68: Accuracy = 0.8538, Loss = 0.1436, Decision = 0
Round 69: Accuracy = 0.8532, Loss = 0.1445, Decision = 0
Round 70: Accuracy = 0.8537, Loss = 0.1455, Decision = 0
Round 71: Accuracy = 0.8542, Loss = 0.1470, Decision = 0
Round 72: Accuracy = 0.8541, Loss = 0.1480, Decision = 0
Round 73: Accuracy = 0.8538, Loss = 0.1488, Decision = 0
Round 74: Accuracy = 0.8537, Loss = 0.1499, Decision = 0
Round 75: Accuracy = 0.8532, Loss = 0.1513, Decision = 0
Round 76: Accuracy = 0.8529, Loss = 0.1525, Decision = 0
Round 77: Accuracy = 0.8528, Loss = 0.1537, Decision = 0
Round 78: Accuracy = 0.8515, Loss = 0.1550, Decision = 0
Round 79: Accuracy = 0.8516, Loss = 0.1565, Decision = 0
Round 80: Accuracy = 0.8520, Loss = 0.1581, Decision = 0
Round 81: Accuracy = 0.8521, Loss = 0.1598, Decision = 0
Round 82: Accuracy = 0.8517, Loss = 0.1614, Decision = 0
Round 83: Accuracy = 0.8514, Loss = 0.1629, Decision = 0
Round 84: Accuracy = 0.8506, Loss = 0.1641, Decision = 0
Round 85: Accuracy = 0.8505, Loss = 0.1655, Decision = 0
Round 86: Accuracy = 0.8503, Loss = 0.1676, Decision = 0
Round 87: Accuracy = 0.8495, Loss = 0.1693, Decision = 0
