Files already downloaded and verified
Files already downloaded and verified
Initial model performance:
Train accuracy: 0.8752, Test accuracy: 0.8242
Round 92: Accuracy = 0.7178, Loss = 0.9107, Decision = 0
Round 93: Accuracy = 0.7173, Loss = 0.9147, Decision = 0
Round 94: Accuracy = 0.7165, Loss = 0.9180, Decision = 0
Round 95: Accuracy = 0.7161, Loss = 0.9211, Decision = 0
Round 96: Accuracy = 0.7150, Loss = 0.9236, Decision = 0
Round 97: Accuracy = 0.7148, Loss = 0.9260, Decision = 0
Round 98: Accuracy = 0.7141, Loss = 0.9306, Decision = 0
Round 99: Accuracy = 0.7131, Loss = 0.9332, Decision = 0
Round 100: Accuracy = 0.7122, Loss = 0.9367, Decision = 0
Round 101: Accuracy = 0.7115, Loss = 0.9416, Decision = 0
Round 102: Accuracy = 0.7105, Loss = 0.9455, Decision = 0
Round 103: Accuracy = 0.7096, Loss = 0.9496, Decision = 0
Round 104: Accuracy = 0.7099, Loss = 0.9523, Decision = 0
Round 105: Accuracy = 0.7090, Loss = 0.9583, Decision = 0
Round 106: Accuracy = 0.7082, Loss = 0.9619, Decision = 0
Round 107: Accuracy = 0.7075, Loss = 0.9655, Decision = 0
Round 108: Accuracy = 0.7064, Loss = 0.9693, Decision = 0
Round 109: Accuracy = 0.7056, Loss = 0.9724, Decision = 0
Round 110: Accuracy = 0.7051, Loss = 0.9770, Decision = 0
Round 111: Accuracy = 0.7052, Loss = 0.9808, Decision = 0
Round 112: Accuracy = 0.7039, Loss = 0.9845, Decision = 0
Round 113: Accuracy = 0.7026, Loss = 0.9874, Decision = 0
Round 114: Accuracy = 0.7019, Loss = 0.9917, Decision = 0
Round 115: Accuracy = 0.7010, Loss = 0.9950, Decision = 0
Round 116: Accuracy = 0.6993, Loss = 0.9980, Decision = 0
Round 117: Accuracy = 0.6988, Loss = 0.9993, Decision = 0
Round 118: Accuracy = 0.6986, Loss = 1.0016, Decision = 0
Round 119: Accuracy = 0.6981, Loss = 1.0054, Decision = 0
Round 120: Accuracy = 0.6971, Loss = 1.0079, Decision = 0
Round 121: Accuracy = 0.6972, Loss = 1.0125, Decision = 0
Round 122: Accuracy = 0.6967, Loss = 1.0153, Decision = 0
Round 123: Accuracy = 0.6963, Loss = 1.0184, Decision = 0
Round 124: Accuracy = 0.6960, Loss = 1.0211, Decision = 0
Round 125: Accuracy = 0.6959, Loss = 1.0232, Decision = 0
Round 126: Accuracy = 0.6952, Loss = 1.0260, Decision = 0
Round 127: Accuracy = 0.6939, Loss = 1.0305, Decision = 0
Round 128: Accuracy = 0.6921, Loss = 1.0344, Decision = 0
Round 129: Accuracy = 0.6925, Loss = 1.0379, Decision = 0
Round 130: Accuracy = 0.6915, Loss = 1.0412, Decision = 0
Round 131: Accuracy = 0.6910, Loss = 1.0431, Decision = 0
Round 132: Accuracy = 0.6908, Loss = 1.0455, Decision = 0
Round 133: Accuracy = 0.6902, Loss = 1.0483, Decision = 0
Round 134: Accuracy = 0.6886, Loss = 1.0510, Decision = 0
Round 135: Accuracy = 0.6881, Loss = 1.0539, Decision = 0
Round 136: Accuracy = 0.6866, Loss = 1.0579, Decision = 0
Round 137: Accuracy = 0.6858, Loss = 1.0615, Decision = 0
Round 138: Accuracy = 0.6856, Loss = 1.0634, Decision = 0
Round 139: Accuracy = 0.6851, Loss = 1.0655, Decision = 0
Round 140: Accuracy = 0.6850, Loss = 1.0693, Decision = 0
Round 141: Accuracy = 0.6851, Loss = 1.0731, Decision = 0
Round 142: Accuracy = 0.6844, Loss = 1.0758, Decision = 0
Round 143: Accuracy = 0.6835, Loss = 1.0782, Decision = 0
Round 144: Accuracy = 0.6831, Loss = 1.0811, Decision = 0
Round 145: Accuracy = 0.6820, Loss = 1.0848, Decision = 0
Round 146: Accuracy = 0.6814, Loss = 1.0870, Decision = 0
Round 147: Accuracy = 0.6813, Loss = 1.0904, Decision = 0
Round 148: Accuracy = 0.6805, Loss = 1.0932, Decision = 0
Round 149: Accuracy = 0.6802, Loss = 1.0962, Decision = 0
Round 150: Accuracy = 0.6795, Loss = 1.0990, Decision = 0
Round 151: Accuracy = 0.6785, Loss = 1.1020, Decision = 0
Round 152: Accuracy = 0.6780, Loss = 1.1056, Decision = 0
Round 153: Accuracy = 0.6777, Loss = 1.1086, Decision = 0
Round 154: Accuracy = 0.6770, Loss = 1.1118, Decision = 0
Round 155: Accuracy = 0.6764, Loss = 1.1141, Decision = 0
Round 156: Accuracy = 0.6766, Loss = 1.1169, Decision = 0
Round 157: Accuracy = 0.6767, Loss = 1.1191, Decision = 0
Round 158: Accuracy = 0.6757, Loss = 1.1209, Decision = 0
Round 159: Accuracy = 0.6752, Loss = 1.1226, Decision = 0
Round 160: Accuracy = 0.6751, Loss = 1.1250, Decision = 0
Round 161: Accuracy = 0.6746, Loss = 1.1249, Decision = 0
Round 162: Accuracy = 0.6740, Loss = 1.1279, Decision = 0
Round 163: Accuracy = 0.6732, Loss = 1.1299, Decision = 0
Round 164: Accuracy = 0.6731, Loss = 1.1328, Decision = 0
Round 165: Accuracy = 0.6725, Loss = 1.1341, Decision = 0
Round 166: Accuracy = 0.6717, Loss = 1.1370, Decision = 0
Round 167: Accuracy = 0.6711, Loss = 1.1396, Decision = 0
Round 168: Accuracy = 0.6713, Loss = 1.1436, Decision = 0
Round 169: Accuracy = 0.6710, Loss = 1.1461, Decision = 0
Round 170: Accuracy = 0.6705, Loss = 1.1500, Decision = 0
Round 171: Accuracy = 0.6697, Loss = 1.1532, Decision = 0
Round 172: Accuracy = 0.6685, Loss = 1.1547, Decision = 0
Round 173: Accuracy = 0.6684, Loss = 1.1568, Decision = 0
Round 174: Accuracy = 0.6679, Loss = 1.1602, Decision = 0
Round 175: Accuracy = 0.6677, Loss = 1.1629, Decision = 0
Round 176: Accuracy = 0.6666, Loss = 1.1648, Decision = 0
Round 177: Accuracy = 0.6661, Loss = 1.1682, Decision = 0
Round 178: Accuracy = 0.6660, Loss = 1.1706, Decision = 0
Round 179: Accuracy = 0.6656, Loss = 1.1723, Decision = 0
Round 180: Accuracy = 0.6652, Loss = 1.1767, Decision = 0
Round 181: Accuracy = 0.6639, Loss = 1.1784, Decision = 0
Round 182: Accuracy = 0.6634, Loss = 1.1816, Decision = 0
Round 183: Accuracy = 0.6628, Loss = 1.1829, Decision = 0
Round 184: Accuracy = 0.6613, Loss = 1.1838, Decision = 0
Round 185: Accuracy = 0.6598, Loss = 1.1875, Decision = 0
Round 186: Accuracy = 0.6594, Loss = 1.1897, Decision = 0
Round 187: Accuracy = 0.6593, Loss = 1.1924, Decision = 0
Round 188: Accuracy = 0.6595, Loss = 1.1946, Decision = 0
Round 189: Accuracy = 0.6582, Loss = 1.1966, Decision = 0
Round 190: Accuracy = 0.6579, Loss = 1.1979, Decision = 0
Round 191: Accuracy = 0.6574, Loss = 1.2009, Decision = 0
Round 192: Accuracy = 0.6557, Loss = 1.2042, Decision = 0
Round 193: Accuracy = 0.6550, Loss = 1.2057, Decision = 0
Round 194: Accuracy = 0.6544, Loss = 1.2083, Decision = 0
Round 195: Accuracy = 0.6542, Loss = 1.2089, Decision = 0
Round 196: Accuracy = 0.6544, Loss = 1.2113, Decision = 0
Round 197: Accuracy = 0.6541, Loss = 1.2146, Decision = 0
Round 198: Accuracy = 0.6537, Loss = 1.2171, Decision = 0
Round 199: Accuracy = 0.6536, Loss = 1.2186, Decision = 0
