Files already downloaded and verified
Files already downloaded and verified
Initial model performance:
Train accuracy: 0.8752, Test accuracy: 0.8242
Round 0: Accuracy = 0.8241, Loss = 0.3907, Decision = 0
Round 1: Accuracy = 0.8237, Loss = 0.3914, Decision = 0
Round 2: Accuracy = 0.8234, Loss = 0.3926, Decision = 0
Round 3: Accuracy = 0.8232, Loss = 0.3932, Decision = 0
Round 4: Accuracy = 0.8231, Loss = 0.3944, Decision = 0
Round 5: Accuracy = 0.8228, Loss = 0.3952, Decision = 0
Round 6: Accuracy = 0.8227, Loss = 0.3960, Decision = 0
Round 7: Accuracy = 0.8227, Loss = 0.3969, Decision = 0
Round 8: Accuracy = 0.8225, Loss = 0.3978, Decision = 0
Round 9: Accuracy = 0.8222, Loss = 0.3987, Decision = 0
Round 10: Accuracy = 0.8218, Loss = 0.3996, Decision = 0
Round 11: Accuracy = 0.8218, Loss = 0.4003, Decision = 0
Round 12: Accuracy = 0.8216, Loss = 0.4014, Decision = 0
Round 13: Accuracy = 0.8215, Loss = 0.4024, Decision = 0
Round 14: Accuracy = 0.8214, Loss = 0.4034, Decision = 0
Round 15: Accuracy = 0.8214, Loss = 0.4040, Decision = 0
Round 16: Accuracy = 0.8212, Loss = 0.4048, Decision = 0
Round 17: Accuracy = 0.8211, Loss = 0.4061, Decision = 0
Round 18: Accuracy = 0.8210, Loss = 0.4070, Decision = 0
Round 19: Accuracy = 0.8206, Loss = 0.4080, Decision = 0
Round 20: Accuracy = 0.8203, Loss = 0.4089, Decision = 0
Round 21: Accuracy = 0.8201, Loss = 0.4100, Decision = 0
Round 22: Accuracy = 0.8197, Loss = 0.4108, Decision = 0
Round 23: Accuracy = 0.8194, Loss = 0.4114, Decision = 0
Round 24: Accuracy = 0.8193, Loss = 0.4123, Decision = 0
Round 25: Accuracy = 0.8193, Loss = 0.4132, Decision = 0
Round 26: Accuracy = 0.8191, Loss = 0.4143, Decision = 0
Round 27: Accuracy = 0.8186, Loss = 0.4153, Decision = 0
Round 28: Accuracy = 0.8186, Loss = 0.4163, Decision = 0
Round 29: Accuracy = 0.8185, Loss = 0.4173, Decision = 0
Round 30: Accuracy = 0.8184, Loss = 0.4181, Decision = 0
Round 31: Accuracy = 0.8182, Loss = 0.4190, Decision = 0
Round 32: Accuracy = 0.8179, Loss = 0.4199, Decision = 0
Round 33: Accuracy = 0.8173, Loss = 0.4205, Decision = 0
Round 34: Accuracy = 0.8171, Loss = 0.4213, Decision = 0
Round 35: Accuracy = 0.8167, Loss = 0.4223, Decision = 0
Round 36: Accuracy = 0.8163, Loss = 0.4232, Decision = 0
Round 37: Accuracy = 0.8159, Loss = 0.4244, Decision = 0
Round 38: Accuracy = 0.8157, Loss = 0.4251, Decision = 0
Round 39: Accuracy = 0.8156, Loss = 0.4260, Decision = 0
Round 40: Accuracy = 0.8155, Loss = 0.4269, Decision = 0
Round 41: Accuracy = 0.8153, Loss = 0.4278, Decision = 0
Round 42: Accuracy = 0.8152, Loss = 0.4288, Decision = 0
Round 43: Accuracy = 0.8150, Loss = 0.4298, Decision = 0
Round 44: Accuracy = 0.8149, Loss = 0.4305, Decision = 0
Round 45: Accuracy = 0.8149, Loss = 0.4313, Decision = 0
Round 46: Accuracy = 0.8148, Loss = 0.4321, Decision = 0
Round 47: Accuracy = 0.8147, Loss = 0.4330, Decision = 0
Round 48: Accuracy = 0.8145, Loss = 0.4337, Decision = 0
Round 49: Accuracy = 0.8145, Loss = 0.4346, Decision = 0
Round 50: Accuracy = 0.8144, Loss = 0.4356, Decision = 0
Round 51: Accuracy = 0.8142, Loss = 0.4363, Decision = 0
Round 52: Accuracy = 0.8142, Loss = 0.4371, Decision = 0
Round 53: Accuracy = 0.8138, Loss = 0.4382, Decision = 0
Round 54: Accuracy = 0.8135, Loss = 0.4392, Decision = 0
Round 55: Accuracy = 0.8131, Loss = 0.4399, Decision = 0
Round 56: Accuracy = 0.8129, Loss = 0.4407, Decision = 0
Round 57: Accuracy = 0.8126, Loss = 0.4417, Decision = 0
Round 58: Accuracy = 0.8126, Loss = 0.4424, Decision = 0
Round 59: Accuracy = 0.8124, Loss = 0.4431, Decision = 0
Round 60: Accuracy = 0.8120, Loss = 0.4439, Decision = 0
Round 61: Accuracy = 0.8118, Loss = 0.4453, Decision = 0
Round 62: Accuracy = 0.8118, Loss = 0.4463, Decision = 0
Round 63: Accuracy = 0.8114, Loss = 0.4476, Decision = 0
Round 64: Accuracy = 0.8113, Loss = 0.4483, Decision = 0
Round 65: Accuracy = 0.8113, Loss = 0.4490, Decision = 0
Round 66: Accuracy = 0.8112, Loss = 0.4502, Decision = 0
