Files already downloaded and verified
Files already downloaded and verified
Initial model performance:
Train accuracy: 0.8332, Test accuracy: 0.7913
Round 92: Accuracy = 0.4665, Loss = 1.8971, Decision = 0
Round 93: Accuracy = 0.4643, Loss = 1.9104, Decision = 0
Round 94: Accuracy = 0.4611, Loss = 1.9227, Decision = 0
Round 95: Accuracy = 0.4580, Loss = 1.9355, Decision = 0
Round 96: Accuracy = 0.4545, Loss = 1.9485, Decision = 0
Round 97: Accuracy = 0.4518, Loss = 1.9614, Decision = 0
Round 98: Accuracy = 0.4485, Loss = 1.9733, Decision = 0
Round 99: Accuracy = 0.4449, Loss = 1.9854, Decision = 0
Round 100: Accuracy = 0.4406, Loss = 1.9978, Decision = 0
Round 101: Accuracy = 0.4365, Loss = 2.0097, Decision = 0
Round 102: Accuracy = 0.4331, Loss = 2.0211, Decision = 0
Round 103: Accuracy = 0.4304, Loss = 2.0325, Decision = 0
Round 104: Accuracy = 0.4261, Loss = 2.0438, Decision = 0
Round 105: Accuracy = 0.4231, Loss = 2.0551, Decision = 0
Round 106: Accuracy = 0.4201, Loss = 2.0656, Decision = 0
Round 107: Accuracy = 0.4164, Loss = 2.0777, Decision = 0
Round 108: Accuracy = 0.4132, Loss = 2.0882, Decision = 0
Round 109: Accuracy = 0.4102, Loss = 2.1005, Decision = 0
Round 110: Accuracy = 0.4067, Loss = 2.1115, Decision = 0
Round 111: Accuracy = 0.4034, Loss = 2.1225, Decision = 0
Round 112: Accuracy = 0.4002, Loss = 2.1327, Decision = 0
Round 113: Accuracy = 0.3975, Loss = 2.1424, Decision = 0
Round 114: Accuracy = 0.3936, Loss = 2.1525, Decision = 0
Round 115: Accuracy = 0.3908, Loss = 2.1633, Decision = 0
Round 116: Accuracy = 0.3878, Loss = 2.1740, Decision = 0
Round 117: Accuracy = 0.3848, Loss = 2.1839, Decision = 0
Round 118: Accuracy = 0.3815, Loss = 2.1943, Decision = 0
Round 119: Accuracy = 0.3782, Loss = 2.2034, Decision = 0
Round 120: Accuracy = 0.3753, Loss = 2.2130, Decision = 0
Round 121: Accuracy = 0.3722, Loss = 2.2227, Decision = 0
Round 122: Accuracy = 0.3696, Loss = 2.2319, Decision = 0
Round 123: Accuracy = 0.3677, Loss = 2.2420, Decision = 0
Round 124: Accuracy = 0.3641, Loss = 2.2514, Decision = 0
Round 125: Accuracy = 0.3604, Loss = 2.2607, Decision = 0
Round 126: Accuracy = 0.3586, Loss = 2.2697, Decision = 0
Round 127: Accuracy = 0.3559, Loss = 2.2787, Decision = 0
Round 128: Accuracy = 0.3523, Loss = 2.2866, Decision = 0
Round 129: Accuracy = 0.3494, Loss = 2.2951, Decision = 0
Round 130: Accuracy = 0.3471, Loss = 2.3033, Decision = 0
Round 131: Accuracy = 0.3439, Loss = 2.3127, Decision = 0
Round 132: Accuracy = 0.3410, Loss = 2.3203, Decision = 0
Round 133: Accuracy = 0.3376, Loss = 2.3283, Decision = 0
Round 134: Accuracy = 0.3355, Loss = 2.3370, Decision = 0
Round 135: Accuracy = 0.3333, Loss = 2.3446, Decision = 0
Round 136: Accuracy = 0.3313, Loss = 2.3536, Decision = 0
Round 137: Accuracy = 0.3291, Loss = 2.3611, Decision = 0
Round 138: Accuracy = 0.3268, Loss = 2.3700, Decision = 0
